实体1,实体2,关系
导数,莱布尼兹公式,知识点->提问
莱布尼兹公式,"若u(x),v(x)均n阶可导，则![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8xl2xwg4ij307000udfv.jpg)",提问->答案
数学,平面曲线的切线和法线,主科目到一级科目
平面曲线的切线和法线,切线方程,知识点->提问
切线方程,"![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8xko8hysoj306c0123yi.jpg)
",提问->答案
平面曲线的切线和法线,法线方程,知识点->提问
法线方程,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8xkomfj6lj309c01amx9.jpg),提问->答案
数学,微分中值定理,主科目到一级科目
微分中值定理,费马定理,知识点->提问
费马定理,"- f在x0的邻域内有定义，且恒满足：f(x)<=f(x0)｜f(x)>=f(x0)
- f在x0处可导，则满足f'(x0)=0
",提问->答案
微分中值定理,拉格朗日中值定理,知识点->提问
拉格朗日中值定理,"设函数f(x)满足条件：
- \[a,b]上连续
- \(a,b)内可导，则\(a,b)存在ζ，使得f(b)-f(a)=f'(ζ)(b-a)
",提问->答案
微分中值定理,柯西中值定理,知识点->提问
柯西中值定理,"设函数f(x),g(x)满足条件：
- \[a,b]上连续
- \(a,b)内可导，且f'(x)和g'(x)存在，且g'(x)!=0
- 则\(a,b)存在ζ，使得(f(b)-f(a))g'(ζ)=f'(ζ)(g(b)-g(a))
",提问->答案
数学,期望、方差、标准差和协方差,主科目到一级科目
期望、方差、标准差和协方差,期望,知识点->提问
期望,"离散型随机变量的一切可能的取值xi与对应的概率Pi(=xi)之积的和称为该离散型随机变量的数学期望（设级数绝对收敛），记为 E(x)。随机变量最基本的数学特征之一。它反映随机变量平均取值的大小。又称期望或均值。
若随机变量X的分布函数F(x)可表示成一个非负可积函数f(x)的积分，则称X为连续性随机变量，f(x)称为X的概率密度函数（分布密度函数）。
- E(ax+by+c) = aE(x)+bE(y)+c
- 如果x和y独立，E(xy)=E(x)E(y) 
",提问->答案
期望、方差、标准差和协方差,方差,知识点->提问
方差,"方差是各个数据与平均数之差的平方的平均数。在概率论和数理统计中，方差（英文Variance）用来度量随机变量和其数学期望（即均值）之间的偏离程度。在许多实际问题中，研究随机变量和均值之间的偏离程度有着很重要的意义。
方差刻画了随机变量的取值对于其数学期望的离散程度。
方差深入：
很显然，均值描述的是样本集合的中间点，它告诉我们的信息是很有限的，而标准差给我们描述的则是样本集合的各个样本点到均值的距离之平均。以这两个集合为例，[0，8，12，20]和[8，9，11，12]，两个集合的均值都是10，但显然两个集合差别是很大的，计算两者的标准差，前者是8.3，后者是1.8，显然后者较为集中，故其标准差小一些，标准差描述的就是这种“散布度”。之所以除以n-1而不是除以n，是因为这样能使我们以较小的样本集更好的逼近总体的标准差，即统计上所谓的“无偏估计”。而方差则仅仅是标准差的平方。
- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91zkdv6ukj308700kweb.jpg)
- 如果x和y独立，![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91zl5np3yj308600kt8j.jpg)
",提问->答案
期望、方差、标准差和协方差,标准差,知识点->提问
标准差,"标准差（Standard Deviation） ，也称均方差（mean square error），是各数据偏离平均数的距离的平均数，它是离均差平方和平均后的方根，用σ表示。标准差是方差的算术平方根。标准差能反映一个数据集的离散程度。平均数相同的，标准差未必相同。
",提问->答案
期望、方差、标准差和协方差,协方差,知识点->提问
协方差,"协方差分析是建立在方差分析和回归分析基础之上的一种统计分析方法。 方差分析是从质量因子的角度探讨因素不同水平对实验指标影响的差异。一般说来，质量因子是可以人为控制的。 回归分析是从数量因子的角度出发，通过建立回归方程来研究实验指标与一个（或几个）因子之间的数量关系。但大多数情况下，数量因子是不可以人为加以控制的。
在概率论和统计学中，协方差用于衡量两个变量的总体误差。而方差是协方差的一种特殊情况，即当两个变量是相同的情况。
- Cov(x,y) = E((x-E(x))(y-E(y)))
- Cov(c+ax,d+by) = abCov(x,y)
",提问->答案
期望、方差、标准差和协方差,相关系数,知识点->提问
相关系数,"![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91zq1gbe7j306601ct8k.jpg)
\[-1,1]之间，值越接近1，说明两个变量正相关性（线性）越强。越接近-1，说明负相关性越强，当为0时，表示两个变量没有相关性
",提问->答案
数学,概率密度分布,主科目到一级科目
概率密度分布,均匀分布,知识点->提问
均匀分布,"- 离散随机变量的均匀分布：假设 X 有 k 个取值：x1, x2, ..., xk 则均匀分布的概率密度函数为:
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91ysz3sxsj30aw023glh.jpg)
",提问->答案
概率密度分布,伯努利分布,知识点->提问
伯努利分布,"伯努利分布：参数为 p∈[0,1]，设随机变量 X ∈ {0,1}，则概率分布函数为：
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91yyoulv0j306m00lmwz.jpg)
期望为p，方差为p(1-p)
",提问->答案
概率密度分布,二项分布,知识点->提问
二项分布,"独立重复地进行 n 次试验中，成功 x 次的概率:
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91z2sy9m5j308800ja9w.jpg)
期望为np，方差为np(1-p)
",提问->答案
概率密度分布,高斯分布,知识点->提问
高斯分布,"我们在做模型训练的之后，随机变量取值范围是实数，大多数情况下都假设变量服从高斯分布，原因：
- 随机变量大多数情况下有若干个因素组合而成，中心极限定理表明，多个独立随机变量的和近似正态分布
- 在具有相同方差的所有可能的概率分布中，正态分布的熵最大（即不确定性最大）；熵大带来的信息量多
典型的一维正态分布的概率密度函数为 :
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91z5lcnmcj30dk02fa9z.jpg)
",提问->答案
概率密度分布,拉普拉斯分布,知识点->提问
拉普拉斯分布,"概率密度函数：
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91z66211aj309c01hjr9.jpg)
期望为u，方差为2γ^2
拉普拉斯分布比高斯分布更加尖锐和狭窄，在正则化中通常会利用该性质
",提问->答案
概率密度分布,泊松分布,知识点->提问
泊松分布,"假设已知事件在单位时间（或者单位面积）内发生的平均次数为λ，则泊松分布描述了：事件在单位时间（或者单位面积）内发生的具体次数为 k 的概率。
概率密度函数：
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91z8oplp1j306f01g0sk.jpg)
期望：λ，方差为：λ",提问->答案
数学,概率论,主科目到一级科目
概率论,条件概率,知识点->提问
条件概率,"P(A/B) = P(AB)/P(B) 
",提问->答案
概率论,独立,知识点->提问
独立,"P(AB) = P(A)P(B)
",提问->答案
概率论,概率基础公式,知识点->提问
概率基础公式,"加法：P(A+B) = P(A)+P(B)-P(AB)
减法：P(A-B) = P(A) - P(AB)
乘法：P(AB) = P(A)P(B/A)
",提问->答案
概率论,全概率：,知识点->提问
全概率：,"![](https://tva1.sinaimg.cn/large/006y8mN6gy1g920h3l62yj305u00qweb.jpg)
",提问->答案
概率论,贝叶斯,知识点->提问
贝叶斯,"P(B/A)=P(B)*P(A/B)/P(A)
",提问->答案
概率论,切比雪夫不等式,知识点->提问
切比雪夫不等式,"p(|x-u|>k∂)<=1/(k^2),满足k>0,u为期望,∂为标准差
绝大多数数据都应该在均值附近
",提问->答案
概率论,抽球,知识点->提问
抽球,"- 有放回的抽取，抽取 m 个排成一列，求不同排列总数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g920jcfb42j300n00d0s5.jpg)
- 无放回的抽取，抽取 m 个排成一列，求不同排列总数:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g920kqhlhbj301w015we9.jpg)
",提问->答案
概率论,纸牌问题,知识点->提问
纸牌问题,"问题：54 张牌，分成 6 份， 每份 9 张牌， 大小王在一起的概率？
54张牌分成6等份，共有M=(C54取9)*(C45取9)*...种分法。
其中大小王在同一份的分法有N=(C6取1)*(C52取7)*(C45取9)*...种。
因此所求概率为P=N / M
",提问->答案
概率论,棍子/绳子问题,知识点->提问
棍子/绳子问题,"问题：一根棍子折三段能组成三角形的概率？
假设：棍子长度为1，第一段长度为x， 第二段长度为y， 第三段长度1-x-y 
分母：总样本空间为： 1 * 1 = 1
分子：两边之和大于第三边，得1/8
",提问->答案
概率论,贝叶斯,知识点->提问
贝叶斯,"问题：某城市发生一起汽车撞人逃跑事件，该城市只有两种颜色的车，蓝20%绿80%， 事发时现场只有一个目击者，他指正是蓝车，但根据专家分析，当时那种条件下能看正确的可能性是80%，那么肇事的车是蓝车的概率是多少？ 
假设事件 A 为目击者指正蓝车， 事件B为肇事车为蓝车，事件C为肇事车为绿车，那么有：
0.2`*`0.8/(0.2`*`0.8+0.8`*`0.2)=0.5
",提问->答案
概率论,选择时间问题,知识点->提问
选择时间问题,"问题：一个活动,n个女生手里拿着长短不一的玫瑰花,无序的排成一排,一个男生从头走到尾,试图拿更长的玫瑰花,一旦拿了一朵就不能再拿其他的,错过了就不能回头,问最好的策略及其概率?
1/e
",提问->答案
概率论,0~1均匀分布的随机器如何变化成均值为0，方差为1的随机器,知识点->提问
0~1均匀分布的随机器如何变化成均值为0，方差为1的随机器,"均匀分布：
E(x) = (a+b)/2
标准差：D(x) = (b-a)^2/12
所以只需要对x做变换：sqrt(12(x-1/2))即可
",提问->答案
概率论,抽红蓝球球,知识点->提问
抽红蓝球球,"问题：抽蓝球红球，蓝结束红放回继续，平均结束游戏抽取次数 
假设设抽到 蓝球 的概率为 p ， 设抽到红球的概率为 q， 那么抽取到的次数为：1·p+2p·q+...+np·q^(n-1)
可得E = p\[1+2q+...+nq^(n-1)],令1+2q+...+nq^(n-1)=s，再由s为等比公式和s-sq得，E=1/p",提问->答案
数学,欧拉公式,主科目到一级科目
数学,泰勒公式,主科目到一级科目
泰勒公式,泰勒公式,知识点->提问
泰勒公式,"定义：f(x)在x0处的邻域内有n+1阶的导数，在x0的邻域内的任x，x和x0之间至少存在一个ζ，使得
f(x)=f(x0)+f'(x0)(x-x0)+1/2!f''(x0)(x-x0)^2+...+Rn(x)
其中，Rn(x) = f<n+1>(ζ)/(n+1)!(x-x0)^(n+1)，为泰勒余项
",提问->答案
泰勒公式,常见泰勒公式,知识点->提问
常见泰勒公式,![](https://i.bmp.ovh/imgs/2019/11/0a10d9591cc0c4ac.png),提问->答案
数学,牛顿法,主科目到一级科目
牛顿法,迭代公式推导,知识点->提问
迭代公式推导,"- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9bfple4x4j303x00i742.jpg)
- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9bfr2t8flj306l00mmwz.jpg)
- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9bfruh1klj3043015wea.jpg)
    - 这边是2次，所以直接以y=x^2化简了
",提问->答案
牛顿法,实现它,知识点->提问
实现它,"```
def get_ans(nums,count=10000):
    ans = nums
    if not ans:
        return ans
    Times = 0
    while Times<count:
        ans = 0.5*(ans+nums/ans)
        Times+=1
    return ans
```",提问->答案
数学,矩阵,主科目到一级科目
矩阵,范数,知识点->提问
范数,"1范数：各列绝对值和的最大值
2范数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91zwforqmj302i00n0si.jpg),矩阵 $A^TA$ 的最大特征值开平方根
",提问->答案
矩阵,特征值分解，特征向量,知识点->提问
特征值分解，特征向量,"特征值分解可以得到特征值与特征向量 
特征值表示的是这个特征到底有多重要，而特征向量表示这个特征是什么
矩阵A 的特征值与其特征向量![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91zxnzwesj300h00h0rz.jpg), 特征值![](https://tva1.sinaimg.cn/large/006y8mN6gy1g91zy0ybcpj300a00c0pd.jpg)满足：
也可写成：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9201wcuefj303600qa9u.jpg)
其中，Q为特征向量组成的矩阵，∑为特征值由大到小组成的矩阵
",提问->答案
矩阵,正定性,知识点->提问
正定性,"- 如何判断矩阵的正定性？
    - 矩阵的特征值大于等于0，半正定
    - 矩阵的特征值大于0，正定
- 正定性的用途？
    - Hessian矩阵正定性在梯度下降的应用
        - 若Hessian正定,则函数的二阶偏导恒大于0，,函数的变化率处于递增状态，判断是否有局部最优解
    - 在svm中核函数构造的基本假设",提问->答案
数据预处理,异常点识别,主科目到一级科目
异常点识别,统计方法,知识点->提问
统计方法,"- 3∂原则
    - 数据需要服从正态分布
    - 只能解决一维问题：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m954lh5tj301h00gdfl.jpg)
- 基于正态分布的离群点检测方法
    - 一元高斯分布校验：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m91basuwj306201h0sl.jpg)，如果概率值大小离群则代表为异常点
    - 多元高斯分布检测：
        - 假设 n 维的数据集合 ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9e4sjkoj303000it8l.jpg)，可以计算 n 维的均值向量![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9ewbb1cj304b00igli.jpg)
        - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9fdr3xfj30140080sl.jpg)的协方差矩阵：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9fly7rpj306g00ja9z.jpg)
        - 得到![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9gzmd1cj30bz01874b.jpg) 
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m92kshc2j30d6073dft.jpg)
- 马氏距离
    - 假设![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9kw2qf3j300900awec.jpg)是均值向量，其中S是协方差矩阵。
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9kguzdgj307e00lmx3.jpg)
- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9rdqiqjj300g00h0sl.jpg)统计检验
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9ryphxxj304u00kmx2.jpg)
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9sgjwk1j300d00awec.jpg)是a在第i维上的取值,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8m9sljfhpj300g00e0sl.jpg)是所有对象在第 i 维的均值，n是维度
- 箱型图
    - IQR，\[Q1-3/2(Q3-Q1),Q3+3/2(Q3-Q1)]
",提问->答案
异常点识别,矩阵分解方法,知识点->提问
矩阵分解方法,"- PCA
    - 去除均值后的协方差矩阵对应的特征值和特征向量，按照特征值排序，topN个特征向量组成新的低维空间
    - 核心：在于组合原始的特征，使得新的原始数据在新的低维度空间中的方差更大，特征更有区分力
    - 问题是没有做到剔除，只是对空间上的表现进行了优化，尽可能的压缩异常点在新空间中作用
- SVD
    - 假设 dataMat 是一个 p 维的数据集合，有 N 个样本，它的协方差矩阵是 X。那么协方差矩阵就通过奇异值分解写成：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8man1o3trj302h00hmx1.jpg)
    - 其中 P 是一个 (p,p) 维的正交矩阵，它的每一列都是 X 的特征向量。D 是一个 (p,p) 维的对角矩阵，包含了特征值 ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8manhjc7qj301n00ga9x.jpg)。
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8mar6eb43j304300h746.jpg)可以认为是dataMat在主成分topj上的映射
    - 最后还需要拉回原空间：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8mb1hmrmnj306w00i747.jpg)
    - 异常值分数（outlier score）：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8maynk5wkj30a300mjrc.jpg) + ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8mayu64x7j305500mt8m.jpg)
",提问->答案
异常点识别,特征值和特征向量的本质是什么？,知识点->提问
特征值和特征向量的本质是什么？,"- 一个特征向量可以看成 2 维平面上面的一条线，或者高维空间里面的一个超平面
- 特征向量所对应的特征值反映了这批数据在这个方向上的拉伸程度 
",提问->答案
异常点识别,矩阵乘法的实际意义？,知识点->提问
矩阵乘法的实际意义？,"- 两个矩阵相乘的意义是将右边矩阵中的每一列列向量变换到左边矩阵中每一行行向量为基所表示的空间中去。
- 矩阵点乘向量的意义是将右边的向量变换到左边矩阵中每一行行向量为基所表示的空间中去。
",提问->答案
异常点识别,密度的离群点检测,知识点->提问
密度的离群点检测,"- 定义密度为到k个最近邻的平均距离的倒数。如果该距离小，则密度高，反之亦然。另一种密度定义是使用DBSCAN聚类算法使用的密度定义，即一个对象周围的密度等于该对象指定距离d内对象的个数。
    - 我们可以通过随机选择联通点，人为设置联通点附近最小半径a，半径内最小容忍点个数b，再考虑密度可达，形成蓝色方框内的正常数据区域，剩下的黄色区域内的点即为异常点。
- Local Outlier Factor算法
- 孤立森林:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8mcoswixrj30iy0em0tb.jpg)
    - 经验1：每棵树的最大深度limit length=ceiling(log2(样本大小))
    - 经验2：树的个数在256棵以下
缺点：
    - 计算量大：o(n^2)
    - 需要人为选择阈值
    
",提问->答案
异常点识别,聚类的离群点检测,知识点->提问
聚类的离群点检测,"- 一个对象是基于聚类的离群点，如果该对象不强属于任何簇，那么该对象属于离群点。
- 缺点也就是聚类的缺点，包括初始点对结果的影响，数据是否保持凸型对结果对影响，簇的个数的选择
",提问->答案
异常点识别,如何处理异常点？,知识点->提问
如何处理异常点？,"- 删除含有异常值的记录：直接将含有异常值的记录删除；
- 视为缺失值：将异常值视为缺失值，利用缺失值处理的方法进行处理；
- 平均值修正：可用前后两个观测值的平均值修正该异常值；
- 生成列新特征：category异常
- 不处理：直接在具有异常值的数据集上进行数据挖掘；",提问->答案
数据预处理,数据平衡,主科目到一级科目
数据平衡,为什么要对数据进行采样平衡,知识点->提问
为什么要对数据进行采样平衡,"- 下采样：克服高维特征以及大量数据导致的问题,有助于降低成本,缩短时间甚至提升效果
- 上采样：均衡正负样本的数据，避免数据不平衡导致分类器对正负样本的有偏训练
    - 比如99%为正样本，1%为负样本，如果分类器把所以样本预测为正样本则准确率高达99%，显然不符合实际情况
",提问->答案
数据平衡,是否一定需要对原始数据进行采样平衡,知识点->提问
是否一定需要对原始数据进行采样平衡,"否。
- 采样前后会对原始数据的分布进行改变，可能导致泛化能力大大下降
- 采样有一定概率会造成过拟合，当原始数据过少而采样量又很大当时候，造成大量数据被重复，造成模型训练的结果有一定的过拟合
",提问->答案
数据平衡,有哪些常见的采样方法？,知识点->提问
有哪些常见的采样方法？,"- 随机采样
    - 无放回的简单抽样：每条样本被采到的概率相等且都为1/N
    - 有放回的简单抽样：每条样本可能多次被选中
    - 上采样：即合理地增加少数类的样本
    - 下采样：欠抽样技术是将数据从原始数据集中移除
    - 平衡采样：考虑正负样本比
    - 分层采样：通过某一些feature对数据进行切分，按照切分后的占比分别进行采样
    - 整体采样：先将数据集T中的数据分组成G个互斥的簇,然后再从G个簇中简单随机采样s个簇作为样本集
- 合成采样
相对于采样随机的方法进行上采样, 还有两种比较流行的上采样的改进方式： 
    - SMOTE
        - x_new = x + rand(0,1) * (x′−x)
        - **带来新样本的同时有可能造成不同类别样本之间的重合**
        - Borderline-SMOTE为了解决上面的问题，在x_new生成之前，会先判断x这个点是否周围都是同类别的点
    - ADASYN
        - 同上，也是在构造样本点的过程中考虑了正负样本比
- 平衡欠采样        
    - EasyEnsemble，利用模型融合的方法（Ensemble）
        - 少样本不变，多样本拆分成N份，分别组合进行模型训练后进行模型融合
    - BalanceCascade，利用模型融合的方法（Boost）
        - 每次剔除预测正确的多数样本，加入新的未预测的多数样本
    - NearMiss
        - 选择离各种情况下的少数样本位置最远的多数样本进行训练                
",提问->答案
数据平衡,能否避免采样？,知识点->提问
能否避免采样？,"可以通过修改模型训练中的loss权重，比如罗辑回归中进行case_weight的调整，adaboost中对样本错分权重的改变等等。
",提问->答案
数据平衡,你平时怎么用采样方法？,知识点->提问
你平时怎么用采样方法？,"尽量避免使用合成采样的方式去做数据填充，总结如下：
- 由于项目中时间的充裕问题，填充的结果往往是正负样本交叠且无感知的，会干扰分类器
- 通常我们引入的特征不仅仅是连续变量，在分类变量上合成采样表现并不优秀
- 合成采样往往无法与后序模型进行结合使用，比如随机采样可以引入模型交叉，比如平衡欠采样可以引入模型融合",提问->答案
数据预处理,特征提取,主科目到一级科目
特征提取,为什么需要对数据进行变换？,知识点->提问
为什么需要对数据进行变换？,"- 避免异常点：比如对连续变量进行份桶离散化
- 可解释性或者需要连续输出：比如评分卡模型中的iv+woe
- 使得原始数据的信息量更大：比如log/sqrt变换
",提问->答案
特征提取,归一化和标准化之间的关系？,知识点->提问
归一化和标准化之间的关系？,"- 归一化(max-min)
    - 缩放仅仅跟最大、最小值的差别有关，只是一个去量纲的过程
- 标准化(z-score)
    - 缩放和所有点都相关，数据相对分布不会改变，集中的数据标准化后依旧集中
- 作用
    - 解决部分模型由于数据值域不同对模型产生的影响，尤其是距离模型
    - 更快的收敛
    - 去量纲化
    - 避免数值计算溢出
- 总结
    - 异常点角度：特征数据上下限明显异常的时候使用标准化方法，简单归一化会造成数据差异模糊，整体方差下降
    - 分布角度：使用标准化之前，要求数据需要近似满足高斯分布，不然会改变数据的分布，尤其是对数据分布有强假设的情况下
    - 上线变动角度：归一化在上线的时候需要考虑上下约束届是否需要变动，标准化则不需要考虑变动
    - 值域范围角度：归一化对数据范围约定较为固定，而标准化的输出上下届则不定
    - 模型角度：一般涉及距离计算，协方差计算，数据满足高斯分布的情况下用标准化，其他归一化或其他变换
- 常用模型    
    - knn：计算距离，不去量冈则结果受值域范围影响大
    - neural network：梯度异常问题+激活函数问题
        
",提问->答案
特征提取,连续特征常用方法,知识点->提问
连续特征常用方法,"- 截断
    - 连续型的数值进行截断或者对长尾数据进行对数后截断(保留重要信息的前提下对特征进行截断,截断后的特征也可以看作是类别特征)
    - 参考异常点里面的outlier识别，以最大值填充或者以None
- 二值化
    - 数据分布过于不平衡
    - 空值/异常值过多
- 分桶
    - 小范围连续数据内不存在逻辑关系，比如31岁和32岁之间不存在明显的差异，可以归为一类
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n2hcomdwj30k60djdh4.jpg)
- 离散化    
    - 数值无意义，比如学历、祖籍等等
- 缩放
    - z-score标准化
    - min-max归一化
    - 范数归一化:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8mf5xdj2sj3031011jr6.jpg)
        - L1范数
        - L2范数
    - 平方根缩放
    - 对数缩放
        - 对数缩放适用于处理长尾分且取值为正数的数值变量
            - 它将大端长尾压缩为短尾，并将小端进行延伸
        - 可以把类似较差的特征线性化，比如x1x2/y，log变换后变成了log(x1)+log(x2)-log(y)
        - 可以把有偏分布修正为近似正太分布
    - Box-Cox转换
        - ![](https://tva1.sinaimg.cn/large/006y8mN6ly1g8mfjjwir3j309m038gln.jpg)
        - 通过因变量的变换，使得变换后的y(λ)与自变量具有线性依托关系。因此，Box-Cox变换是通过参数的适当选择，达到对原来数据的“综合治理”，使其满足一个线性模型条件
- 特征交叉
    - 人为分段交叉
        - 提升模型的拟合能力，使基向量更有表示能力。比如，本来是在二维空间解释一个点的意义，现在升维到三维后解释
        - 离散变量的交并补
        - 连续变量的点积，attention类似
        - 交叉中需要并行特征筛选的步骤
            - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n2rf5aawj30ka0j6q48.jpg)
    - 自动组合
        - FM/FFM中的矩阵点积
            - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n2un2ckzj30eb07jaan.jpg)
        - Neural Network里面的dense
            - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n2vb1nnij30co07lt94.jpg)
    - 条件选择
        - 通过树或者类似的特征组合模型去做最低熵的特征选择
            - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n2t44a2mj30im0bt0tz.jpg)
            - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n2v20wjbj30hs0dx0tq.jpg)
- 非线性编码
    - 核向量进行升维
    - 树模型的叶子结点的stack
    - 谱聚类/pca/svd等信息抽取编码
    - lda/EM等分布拟合表示
",提问->答案
特征提取,离散特征常用方法,知识点->提问
离散特征常用方法,"- one-hot-encoder
- 分层编码
    - 有一定规律的类别数据，邮政编码，手机号等等
- 计数编码
    - 将类别特征用其对应的计数来代替,这对线性和非线性模型都有效
    - 对异常值比较敏感,特征取值有可能冲突
- 计数排名编码
    - 解决上述问题，以排名代替值
- Embedding
    - 对于基数(类别变量所有可能不同取值的个数)很大的离散特征，简单模型任意欠拟合,而复杂模型任意过拟合;对于独热编码,得到的特征矩阵太稀疏.对于高基数类别变量,有效方式是基于目标变量对类别特征进行编码,即有监督的编码方式,适用于分类和回归问题
- 类别特征之间交叉组合
    - 笛卡尔交叉
- 类别特征和数值特征之间交叉组合
    - 均值、中位数、标准差、最大值和最小值
    - 分位数、方差、vif值、分段冲量
",提问->答案
特征提取,文本特征,知识点->提问
文本特征,"- 预处理手段有哪些？
    - 将字符转化为小写
    - 分词
    - 去除无用字符
    - 繁体转中文
    - 去除停用词
    - 去除稀有词
    - 半角全角切换
    - 错词纠正
    - 关键词标记
        - TF-IDF
        - LDA
        - LSA
    - 提取词根
    - 词干提取
    - 标点符号编码
    - 文档特征
    - 实体插入和提取
    - 文本向量化
        - word2vec
        - glove
        - bert
    - 文本相似性
- 如何做样本构造？
    - 按标点切分
    - 按句切分
    - 对话session切分
    - 按文章切分
    - 按场景切分
- 分词过程中会考虑哪些方面？
    - 词性标注
    - 词形还原和词干提取
        - 词形还原为了通用性特征的提取
        - 词干提取为了去除干扰词把训练注意力集中在关键词上，同时提高速度；缺点是不一定词干代表完整句义
- 文本中的统计信息一般有哪些？
    - 直接统计值：
        - 文本的长度
        - 单词个数
        - 数字个数
        - 字母个数
        - 大小写单词个数
        - 大小写字母个数
        - 标点符号个数
        - 特殊字符个数
        - 数字占比
        - 字母占比
        - 特殊字符占比
        - 不同词性个数    
    - 直接统计值的统计信息：
        - 最小最大均值方差标准差
        - 分位数，最早/最晚出现位置
- 直接对文本特征进行整理手段有哪些？   
    - N-Gram模型
        - 将文本转换为连续序列，扩充样本特征
        - 连续语意的提取
    - TF-IDF
        - 权重评分，去除掉一些低重要性的词，比如每篇文章都出现的""的""，""了""
    - LDA
        - 主题抽取，用狄利克雷分布去拟合出文章和主题之间的关系
    - 相似度
        - 余弦相似度
        - Jaccard相似度
            - 共现性
        - Levenshtein(编辑距离)
            - 文本近似程度
        - 海林格距离
            - 用来衡量概率分布之间的相似性
        - JSD
            - 衡量prob1 和 prob2两个分布的相似程度
    - 向量化
        - word2vec
        - glove
        - bert
- 文本处理有大量可以讲，可以谈的，以上只是做了一个最简单的汇总，详细的会在自然语言处理的专题一条一条分析，面试官也一定会就每个知识点进行展开
",提问->答案
特征提取,画一个最简单的最快速能实现的框架,知识点->提问
画一个最简单的最快速能实现的框架,"- 建议不要上来就transfer+attention+bert+xlnet，挖了坑要跳的
- 建议从简单的开始，然后面试官说还有其他方法么？再做延展：
- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8mzet073zj31jw0u046i.jpg)",提问->答案
数据预处理,特征选择,主科目到一级科目
特征选择,为什么要做特征选择？,知识点->提问
为什么要做特征选择？,"- 耗时：特征个数越多，分析特征、训练模型所需的时间就越长。
- 过拟合：特征个数越多，容易引起“维度灾难”，模型也会越复杂，其推广能力会下降。    
- 共线性：单因子对目标的作用被稀释，解释力下降
",提问->答案
特征选择,从哪些方面可以做特征选择？,知识点->提问
从哪些方面可以做特征选择？,"- 方差，是的feature内的方向更大，对目标区分度提高更高贡献
- 相关性，与区分目标有高相关的特征才有意义
",提问->答案
特征选择,既然说了两个方向，分别介绍一些吧,知识点->提问
